Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units
2018,Himachal Pradesh,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,22.0,472.23,0.0,8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06,0.0,588.19,1218.0,17614.0,0.0,126964.0,1343.0,1714.0,False,1097.76,0.0,145796.0
2018,Jammu and Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,383.88,0.0,193.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,19386.62,3701.0,34127.0,0.0,83583.0,910.0,1285.0,False,20083.579999999998,0.0,121411.0
2018,Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.76,0.0,7921.57,2044.0,1055.0,0.0,1006.0,226.0,304.0,False,9916.439999999999,0.0,4105.0
2018,Karnataka,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,1951.0,1.18,0.0,0.0,11.75,0.0,106.0,0.0,0.09,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,26.0,158.0,314.0,False,1979.04,0.0,283.0
2018,Kerala,0.0,2.18,0.0,9.91,0.0,0.0,0.0,0.0,0.0,1666.0,41.41,19.41,0.07,0.0,0.0,199.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.2,17981.0,8834.0,9862.0,False,1741.14,0.0,18224.0
2018,Madhya Pradesh,65.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,7719.0,7.12,0.0,19.93,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,2.11,0.0,153.45,0.0,30529.77,6705.0,537569.0,0.5,816100.0,1973.0,2618.0,False,38508.42,0.0,1360374.0
2018,Maharashtra,0.0,23.57,0.0,7.1,0.0,0.0,0.0,24.13,0.0,28943.0,95.6,0.0,13.16,0.0,239.91,138.0,0.0,0.06,103.55,0.0,2.29,0.0,0.0,473.27,0.0,70.75,0.0,10949.0,0.0,233794.0,778.0,1061.0,False,29996.39,0.0,244881.0
2018,Manipur,0.0,30.87,0.0,0.0,0.0,0.0,0.0,63.0,0.0,2970.0,0.0,0.0,47.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.49,0.0,0.0,4832.0,4817.0,8.34,1460267.0,329.0,494.0,False,3374.84,0.0,1469916.0
2018,Meghalaya,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2262.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,0.0,92796.0,79.0,152.0,False,2266.83,0.0,94266.0
2018,Mizoram,0.0,134.74,0.0,0.0,0.03,0.0,0.0,123.0,0.0,277.0,0.0,0.0,19.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.63,0.0,0.0,0.0,5407.0,0.0,56059.0,670.0,856.0,False,555.1999999999999,0.0,61466.0
